"","year","site","species","n","bm_s","bm_se","den_s","den_se","l_n","l_s","l_se"
"1","2019","Bachelor's Beach","Acanthurus bahianus",10,24.9266666666667,19.0380561371554,0.333333333333333,0.254587538608658,2,15,0
"2","2019","Bachelor's Beach","Acanthurus chirurgus",10,131.855,47.2307571894773,0.833333333333333,0.248451997499977,7,16.2619047619048,1.61255701792353
"3","2019","Bachelor's Beach","Acanthurus coeruleus",10,303.404166666667,149.210271157532,1.75,0.770301367992336,8,16.5,1.18019368870416
"4","2019","Bachelor's Beach","Scarus iserti",10,153.0975,54.5350841746977,2.08333333333333,0.980126598020964,6,16.4722222222222,2.74752975472267
"5","2019","Bachelor's Beach","Scarus taeniopterus",10,702.4,324.506003794162,3.33333333333333,1.56149659139502,7,20.547619047619,2.5073211019109
"6","2019","Bachelor's Beach","Scarus vetula",10,829.840833333333,297.9037300803,1.41666666666667,0.216951379886296,10,29.5,2.39958844207877
"7","2019","Bachelor's Beach","Sparisoma aurofrenatum",10,82.0058333333333,40.4121705412483,1,0.368513865595044,5,12.7333333333333,2.98589275687449
"8","2019","Bachelor's Beach","Sparisoma viride",10,1233.24833333333,236.961271357047,2.83333333333333,0.433902759772592,10,25.61,1.44437435727398
"9","2019","Bachelor's Beach","Sparsisoma rubiprinne",10,35.4041666666667,35.4041666666667,0.0833333333333333,0.0833333333333333,1,28,NA
"10","2019","Windsock","Acanthurus bahianus",9,20.7722222222222,10.3861111111111,0.277777777777778,0.138888888888889,3,15,0
"11","2019","Windsock","Acanthurus chirurgus",9,45.0425925925926,29.7996943485121,0.37037037037037,0.244976973246721,2,14.75,0.25
"12","2019","Windsock","Acanthurus coeruleus",9,158.194444444444,98.817504187636,0.740740740740741,0.448859246057068,4,18.5,1.19023807142381
"13","2019","Windsock","Scarus iserti",9,144.987037037037,39.2013919178995,1.2962962962963,0.395555728949886,6,18.625,1.50242858953984
"14","2019","Windsock","Scarus taeniopterus",9,884.435185185185,285.139752879901,4.25925925925926,0.861160890636031,8,18.2047619047619,2.22753460822475
"15","2019","Windsock","Scarus vetula",9,665.668518518519,165.100362987952,1.85185185185185,0.476649543564213,8,26.1875,1.47311808247697
"16","2019","Windsock","Sparisoma aurofrenatum",9,121.32037037037,27.0769295531466,1.11111111111111,0.240562612162344,8,16.7083333333333,1.58544658472491
"17","2019","Windsock","Sparisoma viride",9,1087.93333333333,318.903033588857,3.42592592592593,0.672492548441387,9,21.6481481481481,1.29209802965726
"18","2019","18th Palm","Acanthurus bahianus",9,54.1925925925926,22.3396065265631,0.740740740740741,0.217148877769603,6,14.25,1.54784796841723
"19","2019","18th Palm","Acanthurus coeruleus",9,93.1407407407407,45.059653649863,0.462962962962963,0.201800877015772,4,17.875,1.1614466553972
"20","2019","18th Palm","Scarus iserti",9,20.2416666666667,18.5723166356825,0.648148148148148,0.551684041102453,2,11.25,1.25
"21","2019","18th Palm","Scarus taeniopterus",9,741.571296296296,185.94756308546,5.37037037037037,1.04960963414395,9,16.7759259259259,2.03889099135358
"22","2019","18th Palm","Scarus vetula",9,832.875925925926,187.010902534458,1.75925925925926,0.292803487052628,8,27.7291666666667,0.999968997535296
"23","2019","18th Palm","Sparisoma aurofrenatum",9,115.590740740741,37.4233964356548,1.2962962962963,0.462962962962963,6,15.4722222222222,1.8198578834759
"24","2019","18th Palm","Sparisoma chrysopterum",9,27.2814814814815,27.2814814814815,0.0925925925925926,0.0925925925925926,1,24,NA
"25","2019","18th Palm","Sparisoma viride",9,642.914814814815,158.505001769632,2.5,0.572653559113564,9,21.7309523809524,1.14407411506022
"26","2019","Calabas","Acanthurus bahianus",6,124.533333333333,63.8301988278856,1.38888888888889,0.702728368926307,3,15.8333333333333,0.166666666666667
"27","2019","Calabas","Acanthurus chirurgus",6,31.2791666666667,31.2791666666667,0.138888888888889,0.138888888888889,1,20,NA
"28","2019","Calabas","Acanthurus coeruleus",6,73.0305555555556,37.3812466393062,0.555555555555556,0.277777777777778,3,15.1666666666667,0.166666666666667
"29","2019","Calabas","Scarus iserti",6,128.448611111111,78.6463658014842,1.80555555555556,1.0412036007773,3,17,5.5075705472861
"30","2019","Calabas","Scarus taeniopterus",6,434.354166666667,114.587574946745,2.91666666666667,0.768295371441074,5,17.72,0.461952378498044
"31","2019","Calabas","Scarus vetula",6,873.730555555556,238.359859544294,1.80555555555556,0.545039357509683,5,28.75,1.83030052177231
"32","2019","Calabas","Sparisoma aurofrenatum",6,220.455555555556,76.6798666977853,1.80555555555556,0.585972864159139,5,17.6666666666667,0.862811940369652
"33","2019","Calabas","Sparisoma viride",6,1121.10833333333,186.818061733374,3.05555555555556,0.464811125852264,6,23.85,2.55140484178161
"34","2019","Front Porch","Acanthurus bahianus",10,64.2258333333333,33.6108866027855,0.583333333333333,0.305555555555556,3,17,0.288675134594813
"35","2019","Front Porch","Acanthurus chirurgus",10,58.4075,43.0603722117614,0.25,0.177864562150912,2,20,1
"36","2019","Front Porch","Acanthurus coeruleus",10,98.6391666666667,61.4356224836512,1.08333333333333,0.680980592896181,3,13,1.89296944860009
"37","2019","Front Porch","Scarus iserti",10,44.2116666666667,31.1195115692493,0.166666666666667,0.111111111111111,2,24.5,2.5
"38","2019","Front Porch","Scarus taeniopterus",10,500.513333333333,77.9368786836541,3.16666666666667,0.803157349711165,9,19.9703703703704,1.41496024073231
"39","2019","Front Porch","Scarus vetula",10,209.53,106.808329274777,0.416666666666667,0.256098457147025,3,31.5555555555556,3.95499371790171
"40","2019","Front Porch","Sparisoma aurofrenatum",10,115.175833333333,47.0789419690907,0.916666666666667,0.315494908100015,6,16.9722222222222,0.972222222222222
"41","2019","Front Porch","Sparisoma chrysopterum",10,41.1966666666667,41.1966666666667,0.0833333333333333,0.0833333333333333,1,30,NA
"42","2019","Front Porch","Sparisoma viride",10,1389.97666666667,233.073546378169,4.33333333333333,0.477906959280146,10,23.2488095238095,1.16594596301121
"43","2019","Front Porch","Sparsisoma rubiprinne",10,64.1833333333333,64.1833333333333,0.0833333333333333,0.0833333333333333,1,34,NA
"44","2019","Forest","Acanthurus bahianus",4,59.2770833333333,36.0967631819066,0.416666666666667,0.240562612162344,2,18.5,1.5
"45","2019","Forest","Acanthurus coeruleus",4,104.58125,43.312718704354,0.625,0.208333333333333,3,16.6666666666667,2.02758751009941
"46","2019","Forest","Scarus coeruleus",4,564.641666666667,564.641666666667,0.208333333333333,0.208333333333333,1,52,NA
"47","2019","Forest","Scarus taeniopterus",4,638.5,118.519600269948,3.125,0.524294058004913,4,20.35,1.18215904175369
"48","2019","Forest","Scarus vetula",4,306.225,118.409520368461,0.833333333333333,0.340206908719886,3,27.5,1.25830573921179
"49","2019","Forest","Sparisoma aurofrenatum",4,88.4020833333333,88.4020833333333,0.416666666666667,0.416666666666667,1,21.5,NA
"50","2019","Forest","Sparisoma viride",4,1080.38958333333,441.789759895796,4.16666666666667,0.90010287477887,4,21.175,2.86309127808854
"51","2019","Reef Scientifico","Acanthurus bahianus",8,52.0614583333333,16.8065050190723,0.520833333333333,0.152484386398208,5,16.4,0.748331477354788
"52","2019","Reef Scientifico","Acanthurus chirurgus",8,51.678125,34.8455109060169,0.3125,0.219210117003813,2,18,5
"53","2019","Reef Scientifico","Acanthurus coeruleus",8,69.4177083333333,36.6029978686171,0.520833333333333,0.219210117003813,4,13.625,3.31269653505016
"54","2019","Reef Scientifico","Scarus iserti",8,22.3135416666667,22.0268595021517,0.3125,0.219210117003813,2,13.5,9.5
"55","2019","Reef Scientifico","Scarus taeniopterus",8,593.297916666667,85.8357699860739,3.95833333333333,0.717379213880592,8,18.5427083333333,1.9535436852826
"56","2019","Reef Scientifico","Scarus vetula",8,807.554166666667,152.889685208826,1.45833333333333,0.26115965438667,7,30.8571428571429,1.95397728003279
"57","2019","Reef Scientifico","Sparisoma aurofrenatum",8,87.0833333333333,30.1299816403992,0.833333333333333,0.314970394174356,5,16.9333333333333,1.06666666666667
"58","2019","Reef Scientifico","Sparisoma chrysopterum",8,89.9041666666667,88.9851349165191,0.208333333333333,0.136386181397495,2,21.5,16.5
"59","2019","Reef Scientifico","Sparisoma viride",8,689.064583333333,214.229196279514,2.08333333333333,0.803020093049526,6,24.8416666666667,0.978980478752144
"60","2019","Barcadera","Acanthurus bahianus",4,733.333333333333,733.333333333333,4.16666666666667,4.16666666666667,1,20,NA
"61","2019","Barcadera","Acanthurus chirurgus",4,703.78125,703.78125,3.125,3.125,1,20,NA
"62","2019","Barcadera","Acanthurus coeruleus",4,2196.65625,1317.21703634946,17.2916666666667,10.4492545808922,4,15.125,0.921389349478999
"63","2019","Barcadera","Scarus taeniopterus",4,1415.33333333333,267.962655483551,3.33333333333333,0.90010287477887,4,27.9255952380952,1.43910119834232
"64","2019","Barcadera","Scarus vetula",4,402.18125,145.008175470952,1.25,0.537914353639919,3,25.6666666666667,2.60341655863555
"65","2019","Barcadera","Sparisoma aurofrenatum",4,354.129166666667,128.707796683353,1.45833333333333,0.524294058004913,3,20.6666666666667,0.666666666666667
"66","2019","Barcadera","Sparisoma viride",4,1742.57291666667,355.232871429651,3.54166666666667,0.398927961565141,4,25.6083333333333,2.22187670925079
"67","2019","Oil Slick Leap","Acanthurus bahianus",11,12.5295454545455,8.45199855061162,0.151515151515152,0.101639453522718,2,15.5,0.5
"68","2019","Oil Slick Leap","Acanthurus chirurgus",11,4.04393939393939,4.04393939393939,0.0757575757575758,0.0757575757575758,1,10,NA
"69","2019","Oil Slick Leap","Acanthurus coeruleus",11,123.620454545455,60.0225390259001,1.06060606060606,0.606060606060606,5,15.65,0.835164654424503
"70","2019","Oil Slick Leap","Scarus iserti",11,16.2515151515152,16.2165460543251,0.303030303030303,0.232268329041756,2,8.83333333333333,5.83333333333333
"71","2019","Oil Slick Leap","Scarus taeniopterus",11,439.817424242424,107.453893903236,3.63636363636364,0.879571228709091,9,16.7353535353535,1.71320255771906
"72","2019","Oil Slick Leap","Scarus vetula",11,702.47196969697,169.142944340856,2.34848484848485,0.839508798617883,9,26.2592592592593,1.82956496361956
"73","2019","Oil Slick Leap","Sparisoma aurofrenatum",11,58.6522727272727,26.7911323074782,0.909090909090909,0.262431940540739,7,11.5238095238095,2.10266540706289
"74","2019","Oil Slick Leap","Sparisoma viride",11,759.303787878788,151.594584187578,2.12121212121212,0.425862706744097,10,22.92,1.81229817948317
"75","2019","Oil Slick Leap","Sparsisoma rubiprinne",11,35.8393939393939,35.8393939393939,0.0757575757575758,0.0757575757575758,1,29,NA
"76","2019","Karpata","Acanthurus bahianus",12,768.666666666667,755.875123014352,2.63888888888889,2.48910363882334,3,18.3333333333333,2.96273147243853
"77","2019","Karpata","Acanthurus coeruleus",12,196.298611111111,82.815354028282,1.18055555555556,0.416140239840328,7,15.3928571428571,1.20497127862573
"78","2019","Karpata","Scarus iserti",12,25.8333333333333,19.9427552761661,2.36111111111111,1.00939053296329,5,5.03333333333333,0.773968848066754
"79","2019","Karpata","Scarus taeniopterus",12,707.498611111111,262.383862427648,6.59722222222222,1.50566527424577,12,16.2238005050505,2.49670447853642
"80","2019","Karpata","Scarus vetula",12,1149.49513888889,205.266726446769,2.84722222222222,0.486111111111111,12,27.4444444444444,1.41954923164799
"81","2019","Karpata","Sparisoma aurofrenatum",12,133.634027777778,33.9919524736935,1.45833333333333,0.385514763655859,8,14.5958333333333,1.08683385910708
"82","2019","Karpata","Sparisoma chrysopterum",12,47.7361111111111,35.7018146598406,0.138888888888889,0.0936388697865614,2,25,5
"83","2019","Karpata","Sparisoma viride",12,1151.93680555556,161.483151117907,3.05555555555556,0.495490325008803,12,24.7240079365079,1.63000221051223
"84","2019","No Dive Reserve","Acanthurus coeruleus",10,223.6375,54.2449844391678,1.41666666666667,0.352460487234709,8,16.625,0.538912411530471
"85","2019","No Dive Reserve","Scarus iserti",10,1.0475,0.712922010608367,0.5,0.333333333333333,3,5.16666666666667,1.42400062421959
"86","2019","No Dive Reserve","Scarus taeniopterus",10,865.096666666667,226.203166604932,9.41666666666667,1.84696113443103,10,14.9042857142857,2.92614692516702
"87","2019","No Dive Reserve","Scarus vetula",10,244.063333333333,107.696141807333,1.25,0.530693699292855,6,20.5,5.28992753573556
"88","2019","No Dive Reserve","Sparisoma aurofrenatum",10,92.5216666666667,27.9994742895974,1,0.346944333244355,6,15.5416666666667,1.9773895530331
"89","2019","No Dive Reserve","Sparisoma chrysopterum",10,51.3875,51.3875,0.0833333333333333,0.0833333333333333,1,33,NA
"90","2019","No Dive Reserve","Sparisoma viride",10,1055.05083333333,172.859813172275,4.41666666666667,0.73545568304854,10,19.4465476190476,1.39137127875214
